,date,open,high,low,close,adj_close,Volume,r_pos_score,r_neu_score,r_neg_score,t_pos_score,t_neu_score,t_neg_score
254,2021-05-01,36.517673,37.361462,35.909569,36.929684,36.929684,1596159168.0,0.1000511792114695,0.8762017168458781,0.0237393512544802,0.0695403401015228,0.923469274111675,0.006987040609137
255,2021-05-02,36.897781,37.164719,35.603996,36.65453,36.65453,1423486755.0,0.1144864771784232,0.8532126182572614,0.0281420788381742,0.1060963271028037,0.8875243644859813,0.0063879158878504
256,2021-05-03,36.639145,38.256828,36.622818,37.255207,37.255207,1857108732.0,0.102833618025751,0.8582542188841201,0.0303357639484978,0.0844624243323442,0.9057324540059348,0.0098021869436201
257,2021-05-04,37.256771,37.9118,34.62867,34.853508,34.853508,2627951840.0,0.0993287027027026,0.8748354594594595,0.0224705945945945,0.0790142100396301,0.911896640686922,0.0090987542932628
258,2021-05-05,34.767815,40.718441,34.535267,40.495045,40.495045,3300471923.0,0.1059824814814814,0.8682695185185184,0.0257741481481481,0.0787534071526822,0.9090794044016506,0.0121756905089408
259,2021-05-06,40.442459,43.732998,38.05547,41.533466,41.533466,4088642953.0,0.1112108765432098,0.854109024691358,0.034683098765432,0.0763691055155875,0.9109926067146285,0.0126388896882494
260,2021-05-07,41.576817,42.582001,38.41996,39.929852,39.929852,3016255239.0,0.0843803103448275,0.8776110795755968,0.0380063050397877,0.0695756073298429,0.916381890052356,0.0140428848167539
261,2021-05-08,39.878448,40.591347,38.77668,39.832691,39.832691,1754219539.0,0.0826981830985915,0.8948390281690141,0.0189376197183098,0.04380725,0.9443463125,0.011841625
262,2021-05-09,39.889889,40.549805,38.280056,40.312843,40.312843,2294525692.0,0.0858594905660377,0.8846613773584906,0.0247934528301886,0.0471145902636916,0.9378792961460446,0.0150111419878296
263,2021-05-10,40.300224,41.787823,32.659714,36.541771,36.541771,3187436826.0,0.0985921330049261,0.8722620837438423,0.0291881921182266,0.0514496921529175,0.9403007987927564,0.0082444607645875
264,2021-05-11,36.510044,38.642284,35.585224,38.642284,38.642284,2263017018.0,0.0936607222222222,0.8795808611111111,0.0233169722222222,0.0399121470113085,0.9464581890145396,0.0136278174474959
